|Sociedad CO|Equipo|Denominación|Perfil catálogo|Ubicac.técnica|Indicador ABC|Área de empresa|Pto.tbjo.resp.|Clase de aviso|Aviso|Descripción|Creado el|Inicio deseado|Fin deseado|Prioridad|Fecha de cierre|Status usuario|Status sistema|Autor del aviso|descripcion|descripcion2
139|ISA|200548|Autotrafo Trifásico 230/115 kV-RV|N-AUTOTR|ESME230ATR-1-AUTOT||SUR|38B70001|N4|335313|Cambiar silica Gel en ATR1|2013-09-18|2013-10-28|2013-10-28|2.0|2013-10-28|INIC COND|MECE ORAS|ERAMOS|cambiar silica gel en atr1|cambiar silica
140|TRAN|2000407|Guajira G1 200 MVA 220/13.8 kV|N-AUTOTR|TGJ_220TRA01||TGJ|38C10001|N4|335442|Revisar alarma Buchholz T-TGJ01|2013-09-20|2013-09-26|2013-09-26||2014-01-13|INIC|MECE ORAS|MCOGOLLO|revisar alarma buchholz t-tgj01|revisar alarma buchholz t-tgj01
141|TRAN|808997|Valledupar 2 100 MVA 220/110 kV|S-TRAFOS|VAL_220TRA02||VAL|38C20001|N4|335724|Revisar contactores-reles-pulsadore OLTC|2013-09-25|2014-11-25|2014-11-28|5.0|2014-12-11|PROY ENPT|MECE ORAS|CMEDINA|revisar contactores-reles-pulsadore oltc|revisar contactores-reles-pulsadore oltc
142|ISA|201582|Autotrafo Monofásico 500/110 kV-B|N-AUTOTR|CERR500ATR-1-AUTOT||NOR|38B60001|N4|336678|Instalar relé sello para presión súbita|2013-10-02|2014-10-29|2014-10-29|3.0|2014-11-11|CPRO COND ENPT|MECE ORAS|FAHERRENO|instalar rele sello para presion subita|alivio presion
143|ISA|201585|Autotrafo Monofásico 500/110 kV-A|N-AUTOTR|CERR500ATR-1-AUTOT||NOR|38B60001|N4|336680|Instalar relé sello para presión súbita|2013-10-02|2014-10-29|2014-10-29|3.0|2014-11-11|CPRO COND ENPT|MECE ORAS|FAHERRENO|instalar rele sello para presion subita|alivio presion
144|TRAN|810451|Tebsa 3 60 MVA 220/110/46 kV Fase T|N-AUTOTR|TBS_220ATR03-T||TBS|38C10001|N4|337348|Revisar indicador nivel de aceite|2013-10-07|2014-10-18|2014-10-18|4.0|2014-11-12|INIC COND ENPT|MECE ORAS|AFERNANDEZ|revisar indicador nivel de aceite|cambiar indicador nivel de aceite
145|ISA|200548|Autotrafo Trifásico 230/115 kV-RV|N-AUTOTR|ESME230ATR-1-AUTOT||SUR|38B70001|N4|341115|Cambiar ATR-1 por ATR-2|2013-10-31|2013-11-11|2013-11-11|2.0|2013-12-09|INIC COND|MECE ORAS|NBALLESTEROS|cambiar atr-1 por atr-2|cambiar atr-1 por atr-2
146|ISA|200597|Autotrafo Trifásico 230/115 kV|N-AUTOTR|ESME230ATR-2-AUTOT||SUR|38B70001|N4|341116|Cambiar ATR-2  por ATR-1|2013-10-31|2013-11-11|2013-11-11|2.0|2013-12-09|INIC COND|MECE ORAS|NBALLESTEROS|cambiar atr-2  por atr-1|cambiar atr-2  por atr-1
147|ISAB|301717|Autotrafo monofasico 230/69/24.9 kV - A|N-AUTOTR|SUCR230ATR-1-AUTOT||SUC|38F10001|N4|346338|Cambiar resistencias tableros de control|2013-12-10|2014-04-01|2014-04-01|3.0|2014-07-04|INIC COND|MECE ORAS|JJANCO|cambiar resistencias tableros de control|cambiar resistencias tableros de control
148|ISA|400039|Autotrafo Trifásico 230/115 kV|N-AUTOTR|LVIR230ATR-1-AUTOT||SUR|38B70001|N4|349174|Cambiar silica OLTC ATR-1 Dispac|2013-12-26|2014-01-26|2014-01-31|2.0|2014-01-31|INIC|MECE ORAS|NCALDERON|cambiar silica oltc atr-1 dispac|cambiar silica
149|ISA|109355|Reactor línea monofásico 500 kV-A|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N4|351194|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-15|2014-05-15|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
150|ISA|109356|Reactor línea monofásico 500 kV-B|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N4|351195|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-15|2014-05-15|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
151|ISA|109357|Reactor línea monofásico 500 kV-C|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N4|351197|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-15|2014-05-15|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
152|ISA|109358|Reactor de neutro 25.5 kV|N-REACTO|SCAR500R21RN-REACT||NOR|38B60001|N4|351199|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-15|2014-05-15|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
153|ISA|111566|Reactor línea monofásico 500 kV-A|N-REACTO|CHIN500R12MC-REACT||NOR|38B60001|N4|351239|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-10|2014-05-10|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
154|ISA|111689|Reactor línea monofásico 500 kV-A|N-REACTO|CHIN500R22MC-REACT||NOR|38B60001|N4|351245|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-13|2014-02-14|3.0|2014-02-19|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
155|ISA|111690|Reactor línea monofásico 500 kV-C|N-REACTO|CHIN500R22MC-REACT||NOR|38B60001|N4|351246|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-13|2014-02-14|3.0|2014-02-19|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
