real;predicho;Equipo;;;;;;;;;;;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
otro;hacer seguimiento generacion anormal de gases;202455;0;0;0;0;0;9;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;2005480;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar secado oltc;revisar/cambiar motoventilador;400039;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
cambiar silica oltc;otro;123167;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;revisar/cambiar motoventilador;118095;0;0;0;0;0;1;0;1;0;0;0;5;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;2004555;0;0;0;0;0;2;0;2;0;0;0;5;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;revisar/cambiar motoventilador;2008032;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;hacer seguimiento generacion anormal de gases;2008033;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;201583;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;123167;0;0;0;0;0;1;0;1;0;0;2;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123168;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;cambiar silica oltc;123168;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;123168;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
realizar secado oltc;otro;201583;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;otro;116143;0;0;0;0;0;2;0;2;0;0;0;5;9;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;200597;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;200597;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;200597;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
cambiar silica oltc;realizar muestreo-analisis fsco-qco oltc;809579;0;0;0;0;0;9;0;9;0;0;0;2;0;0;2;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;120113;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;201120;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cambiar silica oltc;hacer seguimiento generacion anormal de gases;807717;3;0;3;0;0;9;0;9;0;0;0;2;0;0;2;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;132718;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;revisar/cambiar motoventilador;132718;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;cambiar silica oltc;116144;0;0;0;0;0;1;0;1;0;0;0;5;9;0;0;8;0;0;0;0;0;0
otro;otro;2008032;0;0;0;0;0;1;0;1;0;0;9;5;9;9;0;8;0;0;0;0;0;0
otro;otro;116143;0;0;0;0;0;2;0;2;0;0;0;5;9;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;809873;0;0;0;0;0;9;0;9;0;0;1;3;0;0;0;3;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;123168;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
otro;cambiar silica oltc;123159;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
cambiar silica oltc;realizar muestreo-analisis fsco-qco oltc;2004555;0;0;0;0;0;2;0;2;0;0;0;5;0;0;0;9;0;0;0;0;0;0
otro;otro;123167;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;3;0;0;0;0;0;0
