;Equipo;Descripción;DGA;DGA-T.ACE;DGA-T.PAP;DGA-DP;DGA-ARC;OIL.TAP;ADIT.OIL;ADIT.OIL-DBPC;ADIT.OIL-BTZ;OIL.CORR;OIL;OIL-DIE;OIL-FQ;BUJ;INSP;INSP-ENF;INSP-PRO.M;INSP-M.OLTC;INSP-CUB;INSP-GAB;INSP-BUJ.TER;HUM.PAP;HUM.PAP-DELTA;HUM.PAP-T.M;HUM.PAP-T.TRF;HUM.PAP-FECHA;HUM.PAP-DIAG;HUM.PAP-WHRT;HUM;HUM-DELTA;HUM-T.M;HUM-T.TRF;HUM-FECHA;HUM-DIAG;FUR;FUR-2FAL;FUR-TOT;FUR-RAT;FUR-REL;FUR-MAX;PF.DEV;PF.DEV-GND;PF.DEV-BARR;PF.DEV-PRESB;SFRA;SFRA-RAD;SFRA-AXI;SFRA-BULK;SFRA-CORE;SFRA-IMP;SFRA-CONT;SFRA-SELF;SFRA-IMG;SFRA-NO.DIAG
77;810057;otro;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;809872;hacer seguimiento generacion anormal de gases;;;;;;9;;;;;9;;;1;5;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;809578;otro;;;;;;9;;;;;2;2;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2005222;hacer seguimiento generacion anormal de gases;2;2;;;;;;;;9;9;9;9;8;3;;;;3;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
86;2005222;otro;2;2;;;;;;;;9;9;;;8;3;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2005222;hacer seguimiento generacion anormal de gases;2;2;;;;;;;;9;9;;;8;3;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;300390;otro;2;;2;;;;;;;;;;;8;3;3;;;8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;300390;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;;;;;8;3;3;;;8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2003341;hacer seguimiento generacion anormal de gases;2;;;2;;8;;;;;8;;;;3;9;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2005222;otro;2;2;;;;;;;;9;9;;;8;3;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;202717;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;810550;realizar muestreo-analisis fsco-qco oltc;;;;;;8;;;;;2;2;;9;5;9;9;;9;9;;3;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;
94;810551;realizar muestreo-analisis fsco-qco oltc;;;;;;8;;;;;8;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;123158;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;;;;;;;;6;;;;;2;;6;;;;;2;;;;;;;;;;;;;;;;;;;;
96;123159;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;123160;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;202718;realizar muestreo-analisis fsco-qco oltc;2;;2;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;123158;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;123160;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;123158;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;123160;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;202455;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;9;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;202717;cambiar silica oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;202718;cambiar silica oltc;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;123159;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;809578;otro;3;;3;;3;9;;;;;2;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;807717;cambiar silica oltc;;;;;;9;;;;;9;;;;2;;;;2;;;9;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
109;810050;cambiar silica oltc;;;;;;9;;;;;9;;;2;;;;;;;;3;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;;;;
110;202718;otro;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;202718;realizar muestreo-analisis fsco-qco oltc;3;;3;;;1;;;;;1;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;202455;otro;;;;;;9;;;;;9;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;808998;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;9;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;120113;realizar secado oltc;;;;;;2;;;;;2;;;;3;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;202718;realizar secado oltc;3;;3;;;1;;;;;1;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;118095;cambiar silica oltc;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;809578;cambiar silica oltc;;;;;;9;;;;;2;2;;;5;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;202718;realizar muestreo-analisis fsco-qco oltc;3;;3;;;1;;;;;1;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
