Equipo;Posición medida;Valor medido;Fecha;Texto;Texto Ampliado
137558;REACTOR TOTAL;5,00;26/03/2021;/5-INSP= 9-GAB/8-BUJ/;
123176;REACTOR TOTAL;5,00;26/03/2021;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
123180;REACTOR TOTAL;5,00;26/03/2021;/5-INSP= 9-GAB/8-BUJ/;
131586;REACTOR TOTAL;5,00;26/03/2021;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
2014667;EQUIPO TOTAL;5,00;20/03/2021;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /5-INSP=9-ENF/9-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014668;EQUIPO TOTAL;5,00;20/03/2021;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /5-INSP=9-ENF/9-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014669;EQUIPO TOTAL;5,00;20/03/2021;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /5-INSP=9-ENF/9-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014670;EQUIPO TOTAL;5,00;20/03/2021;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /;/9-OIL=9-FQ/9-DIEL//9-HUM/ /9-OIL.TAP/ /5-INSP=9-ENF/9-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
131452;EQUIPO TOTAL;5,00;19/03/2021;/5-INSP= 9-P.CUB/;
131453;EQUIPO TOTAL;5,00;19/03/2021;/5-INSP= 9-P.CUB/;
2003796;EQUIPO TOTAL;5,00;12/03/2021;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC/ /8-OIL;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC/ /8-OIL.TAP/
200548;EQUIPO TOTAL;2,00;12/03/2021;3-ACEITE CUBA:CONDICIÓN DIELÉCTRICA. 2-I;3-ACEITE CUBA:CONDICIÓN DIELÉCTRICA. 2-INSPECCIONES OPERATIVAS: /3-OIL= DIEL/ /2-INSP= 2-PRO-M/
202659;EQUIPO TOTAL;3,00;12/03/2021;3-ACEITE CUBA:CONDICIÓN DIELÉCTRICA. /3-;3-ACEITE CUBA:CONDICIÓN DIELÉCTRICA. /3-OIL= DIEL/
120113;EQUIPO TOTAL;3,00;05/03/2021;3-HUMEDAD EN PAPEL: VERIFICADA CON WATER;3-HUMEDAD EN PAPEL: VERIFICADA CON WATER HEAT RUN TEST. /3-HUM_PAP= NO.EQ/WHRT/
200647;EQUIPO TOTAL;5,00;05/03/2021;;
201179;EQUIPO TOTAL;3,00;05/03/2021;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(S)/
2005468;EQUIPO TOTAL;5,00;05/03/2021;;
2014542;EQUIPO TOTAL;5,00;04/03/2021;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014543;EQUIPO TOTAL;5,00;04/03/2021;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014541;EQUIPO TOTAL;5,00;04/03/2021;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
117274;REACTOR TOTAL;2,00;04/03/2021;/2-INSP=9-ENF/2-PRO-M/2-CUB/9-GAB/8-BUJ/;
